id,duration,credit_amount,installment_commitment,residence_since,age,existing_credits,num_dependents,checking_status,credit_history,purpose,savings_status,employment,personal_status,other_parties,property_magnitude,other_payment_plans,housing,job,own_telephone,foreign_worker,class
47.0,36.0,2299.0,4.0,4.0,39.0,1.0,1.0,no checking,existing paid,radio/tv,500<=X<1000,>=7,male single,none,car,none,own,skilled,none,yes,good
48.0,6.0,1352.0,1.0,2.0,23.0,1.0,1.0,<0,existing paid,used car,500<=X<1000,unemployed,female div/dep/mar,none,life insurance,none,rent,unemp/unskilled non res,yes,yes,good
49.0,11.0,7228.0,1.0,4.0,39.0,2.0,1.0,no checking,critical/other existing credit,new car,<100,1<=X<4,male single,none,life insurance,none,own,unskilled resident,none,yes,good
50.0,12.0,2073.0,4.0,2.0,28.0,1.0,1.0,no checking,existing paid,radio/tv,100<=X<500,1<=X<4,female div/dep/mar,co applicant,real estate,none,own,skilled,none,yes,good
51.0,24.0,2333.0,4.0,2.0,29.0,1.0,1.0,0<=X<200,delayed previously,furniture/equipment,no known savings,<1,male single,none,life insurance,bank,own,unskilled resident,none,yes,good
52.0,27.0,5965.0,1.0,2.0,30.0,2.0,1.0,0<=X<200,delayed previously,used car,<100,>=7,male single,none,car,none,own,high qualif/self emp/mgmt,yes,yes,good
53.0,12.0,1262.0,3.0,2.0,25.0,1.0,1.0,no checking,existing paid,radio/tv,<100,1<=X<4,male single,none,car,none,own,skilled,none,yes,good
54.0,18.0,3378.0,2.0,1.0,31.0,1.0,1.0,no checking,existing paid,used car,no known savings,1<=X<4,male single,none,life insurance,none,own,skilled,yes,yes,good
55.0,36.0,2225.0,4.0,4.0,57.0,2.0,1.0,0<=X<200,delayed previously,new car,<100,>=7,male single,none,no known property,bank,for free,skilled,yes,yes,bad
56.0,6.0,783.0,1.0,2.0,26.0,1.0,2.0,no checking,all paid,new car,no known savings,1<=X<4,male single,guarantor,real estate,stores,own,unskilled resident,none,yes,good
57.0,12.0,6468.0,2.0,1.0,52.0,1.0,1.0,0<=X<200,existing paid,radio/tv,no known savings,unemployed,male single,none,no known property,none,own,high qualif/self emp/mgmt,yes,yes,bad
58.0,36.0,9566.0,2.0,2.0,31.0,2.0,1.0,no checking,critical/other existing credit,radio/tv,<100,1<=X<4,female div/dep/mar,none,car,stores,own,skilled,none,yes,good
59.0,18.0,1961.0,3.0,2.0,23.0,1.0,1.0,>=200,existing paid,new car,<100,>=7,female div/dep/mar,none,car,none,own,high qualif/self emp/mgmt,none,yes,good
60.0,36.0,6229.0,4.0,4.0,23.0,2.0,1.0,<0,critical/other existing credit,furniture/equipment,<100,<1,female div/dep/mar,co applicant,no known property,none,rent,unskilled resident,yes,yes,bad
61.0,9.0,1391.0,2.0,1.0,27.0,1.0,1.0,0<=X<200,existing paid,business,<100,1<=X<4,male mar/wid,none,real estate,bank,own,skilled,yes,yes,good
62.0,15.0,1537.0,4.0,4.0,50.0,2.0,1.0,0<=X<200,critical/other existing credit,radio/tv,no known savings,>=7,male single,guarantor,real estate,none,own,skilled,yes,yes,good
63.0,36.0,1953.0,4.0,4.0,61.0,1.0,1.0,0<=X<200,no credits/all paid,business,<100,>=7,male single,none,no known property,none,for free,high qualif/self emp/mgmt,yes,yes,bad
64.0,48.0,14421.0,2.0,2.0,25.0,1.0,1.0,0<=X<200,no credits/all paid,business,<100,1<=X<4,male single,none,car,none,own,skilled,yes,yes,bad
65.0,24.0,3181.0,4.0,4.0,26.0,1.0,1.0,no checking,existing paid,radio/tv,<100,<1,female div/dep/mar,none,life insurance,none,own,skilled,yes,yes,good
66.0,27.0,5190.0,4.0,4.0,48.0,4.0,2.0,no checking,existing paid,repairs,no known savings,>=7,male single,none,life insurance,none,own,skilled,yes,yes,good
67.0,12.0,2171.0,2.0,2.0,29.0,1.0,1.0,no checking,existing paid,radio/tv,<100,<1,female div/dep/mar,none,car,bank,own,skilled,none,yes,good
68.0,12.0,1007.0,4.0,1.0,22.0,1.0,1.0,0<=X<200,existing paid,new car,>=1000,1<=X<4,male mar/wid,none,real estate,none,own,skilled,none,yes,good
69.0,36.0,1819.0,4.0,4.0,37.0,1.0,1.0,no checking,existing paid,education,<100,1<=X<4,male single,none,no known property,stores,for free,skilled,yes,yes,bad
70.0,36.0,2394.0,4.0,4.0,25.0,1.0,1.0,no checking,existing paid,radio/tv,no known savings,1<=X<4,female div/dep/mar,none,car,none,own,skilled,none,yes,good
71.0,36.0,8133.0,1.0,2.0,30.0,1.0,1.0,no checking,existing paid,used car,<100,1<=X<4,female div/dep/mar,none,life insurance,bank,own,skilled,none,yes,good
72.0,7.0,730.0,4.0,2.0,46.0,2.0,1.0,no checking,critical/other existing credit,radio/tv,no known savings,>=7,male single,none,life insurance,none,rent,unskilled resident,yes,yes,good
73.0,8.0,1164.0,3.0,4.0,51.0,2.0,2.0,<0,critical/other existing credit,other,<100,>=7,male single,none,no known property,bank,for free,high qualif/self emp/mgmt,yes,yes,good
74.0,42.0,5954.0,2.0,1.0,41.0,2.0,1.0,0<=X<200,critical/other existing credit,business,<100,4<=X<7,female div/dep/mar,none,real estate,bank,own,unskilled resident,none,yes,good
75.0,36.0,1977.0,4.0,4.0,40.0,1.0,1.0,<0,existing paid,education,no known savings,>=7,male single,none,no known property,none,own,high qualif/self emp/mgmt,yes,yes,bad
76.0,12.0,1526.0,4.0,4.0,66.0,2.0,1.0,<0,critical/other existing credit,used car,<100,>=7,male single,none,no known property,none,for free,high qualif/self emp/mgmt,none,yes,good
77.0,42.0,3965.0,4.0,3.0,34.0,1.0,1.0,<0,existing paid,radio/tv,<100,<1,male single,none,car,none,own,skilled,none,yes,bad
78.0,11.0,4771.0,2.0,4.0,51.0,1.0,1.0,0<=X<200,delayed previously,radio/tv,<100,4<=X<7,male single,none,life insurance,none,own,skilled,none,yes,good
79.0,54.0,9436.0,2.0,2.0,39.0,1.0,2.0,no checking,no credits/all paid,used car,no known savings,1<=X<4,male single,none,life insurance,none,own,unskilled resident,none,yes,good
80.0,30.0,3832.0,2.0,1.0,22.0,1.0,1.0,0<=X<200,existing paid,furniture/equipment,<100,<1,male mar/wid,none,life insurance,none,own,skilled,none,yes,good
81.0,24.0,5943.0,1.0,1.0,44.0,2.0,1.0,no checking,existing paid,radio/tv,no known savings,<1,female div/dep/mar,none,car,none,own,skilled,yes,yes,bad
82.0,15.0,1213.0,4.0,3.0,47.0,1.0,1.0,no checking,existing paid,radio/tv,500<=X<1000,>=7,male single,none,life insurance,stores,own,skilled,yes,yes,good
83.0,18.0,1568.0,3.0,4.0,24.0,1.0,1.0,no checking,existing paid,business,100<=X<500,1<=X<4,female div/dep/mar,none,life insurance,none,rent,unskilled resident,none,yes,good
84.0,24.0,1755.0,4.0,4.0,58.0,1.0,1.0,<0,existing paid,other,<100,>=7,female div/dep/mar,guarantor,real estate,none,own,unskilled resident,yes,yes,good
85.0,10.0,2315.0,3.0,4.0,52.0,1.0,1.0,<0,existing paid,radio/tv,<100,>=7,male single,none,real estate,none,own,unskilled resident,none,yes,good
86.0,12.0,1412.0,4.0,2.0,29.0,2.0,1.0,no checking,critical/other existing credit,business,<100,1<=X<4,female div/dep/mar,guarantor,real estate,none,own,high qualif/self emp/mgmt,yes,yes,good
87.0,18.0,1295.0,4.0,1.0,27.0,2.0,1.0,0<=X<200,critical/other existing credit,furniture/equipment,<100,<1,female div/dep/mar,none,life insurance,none,own,skilled,none,yes,good
88.0,36.0,12612.0,1.0,4.0,47.0,1.0,2.0,0<=X<200,existing paid,education,100<=X<500,1<=X<4,male single,none,no known property,none,for free,skilled,yes,yes,bad
89.0,18.0,2249.0,4.0,3.0,30.0,1.0,2.0,<0,existing paid,new car,100<=X<500,4<=X<7,male single,none,car,none,own,high qualif/self emp/mgmt,yes,yes,good
90.0,12.0,1108.0,4.0,3.0,28.0,2.0,1.0,<0,no credits/all paid,repairs,<100,4<=X<7,male single,none,real estate,none,own,skilled,none,yes,bad
91.0,12.0,618.0,4.0,4.0,56.0,1.0,1.0,no checking,critical/other existing credit,radio/tv,<100,>=7,male single,none,real estate,none,own,skilled,none,yes,good
92.0,12.0,1409.0,4.0,3.0,54.0,1.0,1.0,<0,critical/other existing credit,used car,<100,>=7,male single,none,real estate,none,own,skilled,none,yes,good
93.0,12.0,797.0,4.0,3.0,33.0,1.0,2.0,no checking,critical/other existing credit,radio/tv,no known savings,>=7,female div/dep/mar,none,life insurance,bank,own,unskilled resident,none,yes,bad
94.0,24.0,3617.0,4.0,4.0,20.0,2.0,1.0,>=200,critical/other existing credit,furniture/equipment,no known savings,>=7,male single,co applicant,no known property,none,rent,skilled,none,yes,good
95.0,12.0,1318.0,4.0,4.0,54.0,1.0,1.0,0<=X<200,existing paid,new car,>=1000,>=7,male single,none,real estate,none,own,skilled,yes,yes,good
96.0,54.0,15945.0,3.0,4.0,58.0,1.0,1.0,0<=X<200,no credits/all paid,business,<100,<1,male single,none,no known property,none,rent,skilled,yes,yes,bad
97.0,12.0,2012.0,4.0,2.0,61.0,1.0,1.0,no checking,critical/other existing credit,education,no known savings,4<=X<7,female div/dep/mar,none,car,none,own,skilled,none,yes,good
98.0,18.0,2622.0,4.0,4.0,34.0,1.0,1.0,0<=X<200,existing paid,business,100<=X<500,1<=X<4,male single,none,car,none,own,skilled,none,yes,good
99.0,36.0,2337.0,4.0,4.0,36.0,1.0,1.0,0<=X<200,critical/other existing credit,radio/tv,<100,>=7,male single,none,real estate,none,own,skilled,none,yes,good
100.0,20.0,7057.0,3.0,4.0,36.0,2.0,2.0,0<=X<200,delayed previously,used car,no known savings,4<=X<7,male single,none,life insurance,bank,rent,high qualif/self emp/mgmt,yes,yes,good
101.0,24.0,1469.0,4.0,4.0,41.0,1.0,1.0,no checking,existing paid,new car,100<=X<500,>=7,male mar/wid,none,real estate,none,rent,unskilled resident,none,yes,good
102.0,36.0,2323.0,4.0,4.0,24.0,1.0,1.0,0<=X<200,existing paid,radio/tv,<100,4<=X<7,male single,none,car,none,rent,skilled,none,yes,good
103.0,6.0,932.0,3.0,2.0,24.0,1.0,1.0,no checking,delayed previously,radio/tv,<100,1<=X<4,female div/dep/mar,none,real estate,none,own,skilled,none,yes,good
104.0,9.0,1919.0,4.0,3.0,35.0,1.0,1.0,0<=X<200,critical/other existing credit,furniture/equipment,<100,4<=X<7,male single,none,car,none,rent,skilled,yes,yes,good
105.0,12.0,2445.0,2.0,4.0,26.0,1.0,1.0,no checking,existing paid,used car,no known savings,<1,male mar/wid,none,car,none,rent,skilled,yes,yes,good
106.0,24.0,11938.0,2.0,3.0,39.0,2.0,2.0,0<=X<200,critical/other existing credit,other,<100,1<=X<4,male single,co applicant,car,none,own,high qualif/self emp/mgmt,yes,yes,bad
107.0,18.0,6458.0,2.0,4.0,39.0,2.0,2.0,no checking,all paid,new car,<100,>=7,male single,none,no known property,bank,own,high qualif/self emp/mgmt,yes,yes,bad
108.0,12.0,6078.0,2.0,2.0,32.0,1.0,1.0,0<=X<200,existing paid,new car,<100,4<=X<7,male single,none,car,none,own,skilled,none,yes,good
109.0,24.0,7721.0,1.0,2.0,30.0,1.0,1.0,<0,existing paid,furniture/equipment,no known savings,<1,female div/dep/mar,none,life insurance,none,own,skilled,yes,no,good
110.0,14.0,1410.0,1.0,2.0,35.0,1.0,1.0,0<=X<200,existing paid,business,500<=X<1000,>=7,male mar/wid,none,real estate,none,own,skilled,yes,yes,good
111.0,6.0,1449.0,1.0,2.0,31.0,2.0,2.0,0<=X<200,delayed previously,business,100<=X<500,>=7,male div/sep,none,car,bank,own,skilled,none,yes,good
112.0,15.0,392.0,4.0,4.0,23.0,1.0,1.0,>=200,existing paid,education,<100,<1,female div/dep/mar,none,life insurance,none,rent,skilled,yes,yes,good
113.0,18.0,6260.0,3.0,3.0,28.0,1.0,1.0,0<=X<200,existing paid,new car,<100,4<=X<7,male single,none,real estate,none,rent,unskilled resident,none,yes,good
114.0,36.0,7855.0,4.0,2.0,25.0,2.0,1.0,no checking,critical/other existing credit,new car,<100,1<=X<4,female div/dep/mar,none,real estate,stores,own,skilled,yes,yes,bad
115.0,12.0,1680.0,3.0,1.0,35.0,1.0,1.0,<0,existing paid,radio/tv,500<=X<1000,>=7,male mar/wid,none,real estate,none,own,skilled,none,yes,good
116.0,48.0,3578.0,4.0,1.0,47.0,1.0,1.0,no checking,critical/other existing credit,radio/tv,no known savings,>=7,male single,none,real estate,none,own,skilled,yes,yes,good
117.0,42.0,7174.0,4.0,3.0,30.0,1.0,1.0,<0,existing paid,radio/tv,no known savings,4<=X<7,female div/dep/mar,none,car,none,own,high qualif/self emp/mgmt,yes,yes,bad
118.0,10.0,2132.0,2.0,3.0,27.0,2.0,1.0,<0,critical/other existing credit,furniture/equipment,no known savings,<1,female div/dep/mar,co applicant,real estate,none,rent,skilled,none,no,good
119.0,33.0,4281.0,1.0,4.0,23.0,2.0,1.0,<0,critical/other existing credit,furniture/equipment,500<=X<1000,1<=X<4,female div/dep/mar,none,car,none,own,skilled,none,yes,bad
120.0,12.0,2366.0,3.0,3.0,36.0,1.0,1.0,0<=X<200,critical/other existing credit,new car,500<=X<1000,4<=X<7,male div/sep,none,car,none,own,high qualif/self emp/mgmt,yes,yes,good
121.0,21.0,1835.0,3.0,2.0,25.0,2.0,1.0,<0,existing paid,radio/tv,<100,1<=X<4,female div/dep/mar,none,real estate,none,own,skilled,yes,yes,bad
122.0,24.0,3868.0,4.0,2.0,41.0,2.0,1.0,no checking,critical/other existing credit,used car,<100,>=7,female div/dep/mar,none,car,none,rent,high qualif/self emp/mgmt,yes,yes,good
123.0,12.0,1768.0,3.0,2.0,24.0,1.0,1.0,no checking,existing paid,furniture/equipment,<100,1<=X<4,male single,none,real estate,none,rent,unskilled resident,none,yes,good
124.0,10.0,781.0,4.0,4.0,63.0,2.0,1.0,>=200,critical/other existing credit,new car,<100,>=7,male single,none,no known property,none,for free,skilled,yes,yes,good
125.0,18.0,1924.0,4.0,3.0,27.0,1.0,1.0,0<=X<200,existing paid,furniture/equipment,no known savings,<1,female div/dep/mar,none,real estate,none,rent,skilled,none,yes,bad
126.0,12.0,2121.0,4.0,2.0,30.0,2.0,1.0,<0,critical/other existing credit,new car,<100,1<=X<4,male single,none,life insurance,none,own,skilled,none,yes,good
127.0,12.0,701.0,4.0,2.0,40.0,1.0,1.0,<0,existing paid,radio/tv,<100,1<=X<4,male mar/wid,none,real estate,none,own,unskilled resident,none,yes,good
128.0,12.0,639.0,4.0,2.0,30.0,1.0,1.0,0<=X<200,existing paid,repairs,<100,1<=X<4,male single,none,car,none,own,skilled,none,yes,bad
129.0,12.0,1860.0,4.0,2.0,34.0,2.0,1.0,0<=X<200,critical/other existing credit,used car,<100,unemployed,male single,none,car,none,own,high qualif/self emp/mgmt,yes,yes,good
130.0,12.0,3499.0,3.0,2.0,29.0,2.0,1.0,<0,critical/other existing credit,new car,<100,1<=X<4,female div/dep/mar,co applicant,real estate,none,own,skilled,none,yes,bad
131.0,48.0,8487.0,1.0,2.0,24.0,1.0,1.0,0<=X<200,existing paid,new car,no known savings,4<=X<7,female div/dep/mar,none,car,none,own,skilled,none,yes,good
132.0,36.0,6887.0,4.0,3.0,29.0,1.0,1.0,<0,delayed previously,education,<100,1<=X<4,male single,none,life insurance,stores,own,skilled,yes,yes,bad
133.0,15.0,2708.0,2.0,3.0,27.0,2.0,1.0,no checking,existing paid,furniture/equipment,<100,<1,male single,none,life insurance,bank,own,unskilled resident,none,yes,good
134.0,18.0,1984.0,4.0,4.0,47.0,2.0,1.0,no checking,existing paid,furniture/equipment,<100,1<=X<4,male single,none,no known property,bank,for free,skilled,none,yes,good
135.0,60.0,10144.0,2.0,4.0,21.0,1.0,1.0,no checking,existing paid,radio/tv,100<=X<500,4<=X<7,female div/dep/mar,none,real estate,none,own,skilled,yes,yes,good
136.0,12.0,1240.0,4.0,2.0,38.0,2.0,1.0,no checking,critical/other existing credit,radio/tv,no known savings,>=7,female div/dep/mar,none,real estate,none,own,skilled,yes,yes,good
137.0,27.0,8613.0,2.0,2.0,27.0,2.0,1.0,no checking,delayed previously,used car,>=1000,1<=X<4,male single,none,car,none,own,skilled,none,yes,good
138.0,12.0,766.0,4.0,3.0,66.0,1.0,1.0,0<=X<200,existing paid,radio/tv,500<=X<1000,1<=X<4,male single,none,real estate,none,own,unskilled resident,none,yes,bad
139.0,15.0,2728.0,4.0,2.0,35.0,3.0,1.0,0<=X<200,critical/other existing credit,radio/tv,no known savings,4<=X<7,male single,guarantor,real estate,bank,own,skilled,yes,yes,good
140.0,12.0,1881.0,2.0,2.0,44.0,1.0,1.0,>=200,existing paid,radio/tv,<100,1<=X<4,female div/dep/mar,none,car,none,rent,unskilled resident,yes,yes,good
141.0,6.0,709.0,2.0,2.0,27.0,1.0,1.0,>=200,existing paid,new car,>=1000,<1,male mar/wid,none,real estate,none,own,unemp/unskilled non res,none,no,good
142.0,36.0,4795.0,4.0,1.0,30.0,1.0,1.0,0<=X<200,existing paid,radio/tv,<100,<1,female div/dep/mar,none,no known property,none,own,high qualif/self emp/mgmt,yes,yes,good
143.0,27.0,3416.0,3.0,2.0,27.0,1.0,1.0,<0,existing paid,radio/tv,<100,1<=X<4,male single,none,car,none,own,high qualif/self emp/mgmt,none,yes,good
144.0,18.0,2462.0,2.0,2.0,22.0,1.0,1.0,<0,existing paid,furniture/equipment,<100,1<=X<4,male single,none,car,none,own,skilled,none,yes,bad
145.0,21.0,2288.0,4.0,4.0,23.0,1.0,1.0,no checking,critical/other existing credit,furniture/equipment,<100,<1,female div/dep/mar,none,life insurance,none,own,skilled,yes,yes,good
146.0,48.0,3566.0,4.0,2.0,30.0,1.0,1.0,0<=X<200,all paid,business,100<=X<500,4<=X<7,male single,none,car,none,own,skilled,none,yes,good
147.0,6.0,860.0,1.0,4.0,39.0,2.0,1.0,<0,critical/other existing credit,new car,<100,>=7,female div/dep/mar,none,no known property,none,own,skilled,yes,yes,good
148.0,12.0,682.0,4.0,3.0,51.0,2.0,1.0,no checking,critical/other existing credit,new car,100<=X<500,4<=X<7,female div/dep/mar,none,car,none,own,skilled,yes,yes,good
149.0,36.0,5371.0,3.0,2.0,28.0,2.0,1.0,<0,critical/other existing credit,furniture/equipment,<100,1<=X<4,male single,guarantor,life insurance,none,own,skilled,none,yes,good
150.0,18.0,1582.0,4.0,4.0,46.0,2.0,1.0,no checking,critical/other existing credit,radio/tv,>=1000,>=7,male single,none,car,none,own,skilled,none,yes,good
151.0,6.0,1346.0,2.0,4.0,42.0,1.0,2.0,no checking,existing paid,radio/tv,100<=X<500,>=7,male single,none,no known property,bank,for free,skilled,yes,yes,good
152.0,10.0,1924.0,1.0,4.0,38.0,1.0,1.0,no checking,existing paid,radio/tv,<100,1<=X<4,male single,none,life insurance,none,own,skilled,yes,no,good
153.0,36.0,5848.0,4.0,1.0,24.0,1.0,1.0,>=200,existing paid,radio/tv,<100,1<=X<4,male single,none,car,none,own,skilled,none,yes,good
154.0,24.0,7758.0,2.0,4.0,29.0,1.0,1.0,0<=X<200,critical/other existing credit,used car,>=1000,>=7,female div/dep/mar,none,no known property,none,rent,skilled,none,yes,good
155.0,24.0,6967.0,4.0,4.0,36.0,1.0,1.0,0<=X<200,delayed previously,business,100<=X<500,4<=X<7,male single,none,car,none,rent,high qualif/self emp/mgmt,yes,yes,good
156.0,12.0,1282.0,2.0,4.0,20.0,1.0,1.0,<0,existing paid,furniture/equipment,<100,1<=X<4,female div/dep/mar,none,car,none,rent,skilled,none,yes,bad
